Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Due Date,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Outward issue link (Cloners),Outward issue link (Cloners),Outward issue link (Cloners),Outward issue link (Duplicate),Inward issue link (Finish-to-Finish link (WBSGantt)),Inward issue link (Finish-to-Finish link (WBSGantt)),Outward issue link (Finish-to-Finish link (WBSGantt)),Outward issue link (Finish-to-Finish link (WBSGantt)),Outward issue link (Finish-to-Finish link (WBSGantt)),Inward issue link (Finish-to-Start link (WBSGantt)),Inward issue link (Hierarchy link (WBSGantt)),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Activity Class),Custom field (Activity Type),Custom field (Biomica Delivery),Custom field (Budget),Custom field (Budget 2),Custom field (CRISPRIL WP),Custom field (Crispr Delivery),Custom field (DevOps Platform),Custom field (EVGN Description),Custom field (End date),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Experiment Name),Custom field (Lavie project),Custom field (Maturity Level),Custom field (Planned End),Custom field (Planned Start),Custom field (Priority),Custom field (Product),Custom field (Rank),Sprint
Raw taxonomy matrices and relative abundance matrices download from metabacum is inconsistent ,INTBIOM-11,52700,,Bug,Closed,INTBIOM,Biomica Internal,software,drorf,,,High,,noama,elanitec,elanitec,13/07/2023 11:25,24/07/2023 13:01,12/09/2023 13:19,,20/07/2023 00:00,elanitec,noama,,,,,,,,,"fixed, please check ;17/Jul/23 11:46 AM;noama;14400","[~elanitec] , I ran IBS, strain and got back the results, please check;24/Jul/23 11:18 AM;noama;14400",,,,,,,,,,,,,,,,,,,,,,,,,0,28800,,,0,28800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIOM-291,BIOM-281,,,,,,,,,,,,,,,,,,,13/Jul/23 12:43 PM;elanitec;BIOM-281 QA.pptx;https://jira.prod.evogene.host/secure/attachment/53701/BIOM-281+QA.pptx,24/Jul/23 7:11 AM;elanitec;screenshot-1.png;https://jira.prod.evogene.host/secure/attachment/54404/screenshot-1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P271 - CPB Upkeep Computational (2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,MIC-742,,,,,,,,,MicroBoost,0|i01567:,01/07/2023
add castorbean genome to UI,CPB-1033,53101,,Task,Closed,CPB,CPB,software,drorf,,,Medium,,noama,Iliaz,Iliaz,19/07/2023 08:17,30/07/2023 09:12,12/09/2023 13:19,,20/07/2023 00:00,drorf,duduz,Iliaz,noama,,,,,,,;19/Jul/23 12:12 PM;noama;14400,update no withoutPrimersDesign = true when organism is castor bean;23/Jul/23 4:12 AM;noama;3600,;24/Jul/23 4:05 AM;noama;7200,,,,,,,,,,,,,,,,,,,,,,,28800,3600,25200,87%,28800,3600,25200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P279 - CPB projects Computational (CPB 2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,,,,,,,,,,CPB,0|i0158v:,01/07/2023
Dev support (Noam) - Jul,CPB-1024,51800,,Task,Closed,CPB,CPB,software,drorf,,,Medium,,noama,duduz,duduz,02/07/2023 07:48,31/07/2023 11:46,12/09/2023 13:19,,31/07/2023 00:00,duduz,,,,,,,,,,"metaBacumLoader
 * debug IBS load
 * debug HMP2 loading for pathway error;02/Jul/23 12:05 PM;noama;14400","debug HMP2 loading, fail for pathway type, pathway list does not exists in db,

all of pathway start with *map*;03/Jul/23 8:15 AM;noama;10800",elastic tutorial;30/Jul/23 11:39 AM;noama;28800,elk tutorial;31/Jul/23 11:46 AM;noama;28800,,,,,,,,,,,,,,,,,,,,,,57600,0,82800,143%,57600,0,82800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CPB-992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P271 - CPB Upkeep Computational (2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,,,,,,,,,,CPB,0|i0151z:,01/07/2023
Add to the main search possibility to search production/GCF/AssemblyID,MIC-750,41206,,Task,Closed,MIC,MicroBoost,software,larisar,,,Medium,,noama,larisar,larisar,05/02/2023 11:05,06/08/2023 03:50,12/09/2023 13:19,,09/03/2023 00:00,elanitec,larisar,noama,,,,,,,,;14/Mar/23 1:02 PM;noama;25200,"* add getProductionAssemblies function to Athlete.production module.
* add to etl.oracleToElasteic.py production index 
* start working on productionDalEs;15/Mar/23 1:00 PM;noama;25200",;16/Mar/23 12:03 PM;noama;21600,"* filter production data from elk for search
* getting & displaying  productions tab  data for search result ;19/Mar/23 1:13 PM;noama;28800","* update production filter with SOURCE != 'multi'
* loading productions data to BIOMICA, LAVIE and CPB productions index;20/Mar/23 12:34 PM;noama;28800",;21/Mar/23 11:22 AM;noama;10800,,,,,,,,,,,,,,,,,,,,144000,3600,140400,97%,144000,3600,140400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16/Feb/23 8:38 PM;larisar;screenshot-1.png;https://jira.prod.evogene.host/secure/attachment/43401/screenshot-1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tool,Development,,P265 - Product- MB (Microboost 2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,MIC-720,,,,,,,,,MicroBoost,0|i0107b:,01/03/2023
Prepare StrainDB data in DB,MIC-749,41205,,Task,Closed,MIC,MicroBoost,software,larisar,,,Medium,,noama,larisar,larisar,05/02/2023 11:03,06/08/2023 13:25,12/09/2023 13:19,,15/03/2023 00:00,duduz,elanitec,larisar,noama,,,,,,,;14/Mar/23 1:02 PM;noama;3600,"* created straindb_group db table.
* table fields:
# GCF
# TAXID
# REPRESENTATIVE_GCF
# ORGANISM
* loaded records from Larisa's xlsx file (29514 records);21/Mar/23 12:59 PM;noama;10800",,,,,,,,,,,,,,,,,,,,,,,,144000,129600,14400,10%,144000,129600,14400,MIC-748,,,,,,,,,,,MIC-751,MIC-754,,,,,,,,,,,,,,,,MIC-958,,,,,,,,,,,,,,,,,,,,,,MIC-958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tool,Development,,P265 - Product- MB (Microboost 2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,MIC-720,,,,,,,,,MicroBoost,0|i01073:,01/03/2023
StrainDB: Add production name column to taxonomy abundance table (strain) from UI,MIC-919,51202,,Task,Closed,MIC,MicroBoost,software,larisar,,,Medium,,noama,larisar,larisar,25/06/2023 14:16,07/08/2023 07:02,12/09/2023 13:19,,20/07/2023 00:00,drorf,elanitec,larisar,noama,sassim,,,,,,update sql query to get prod name;02/Jul/23 11:47 AM;noama;7200,"* fix submit message to user for taxonomy strain report (UI).
 * update view with prodid & production full name, 
 * updating metabacum api to handle taxonomy strain. ;04/Jul/23 3:31 AM;noama;18000","* metabacum api for taxonomy abundance table - updated strain/non strain level.
 * ui done
 * api tests;04/Jul/23 11:55 AM;noama;28800",;05/Jul/23 10:56 AM;noama;10800,,,,,,,,,,,,,,,,,,,,,,57600,0,64800,112%,57600,0,64800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIC-933,,,,,,,,,,,,,,,,,,,,,,MIC-943,MIC-942,MIC-879,MIC-906,,,,,,,,,30/Jun/23 9:43 AM;larisar;screenshot-1.png;https://jira.prod.evogene.host/secure/attachment/52901/screenshot-1.png,02/Jul/23 8:25 AM;larisar;screenshot-2.png;https://jira.prod.evogene.host/secure/attachment/53000/screenshot-2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P273 - Product- Upkeep MB  (2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,MIC-742,,,,,,,,,MicroBoost,0|i014ov:,01/07/2023
CLONE - Strain name/production name conversion table accessed via Biomica's dashboard - API,MIC-943,53414,,Task,Closed,MIC,MicroBoost,software,larisar,,,Medium,,noama,elanitec,elanitec,24/07/2023 13:30,07/08/2023 09:55,12/09/2023 13:19,,27/07/2023 00:00,elanitec,noama,,,,,,,,,done;25/Jul/23 10:30 AM;noama;28800,,,,,,,,,,,,,,,,,,,,,,,,,57600,28800,28800,50%,57600,28800,28800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIC-942,,,,,,,,,,,MIC-919,,,,,,,,MIC-960,,,,,,,,,,,,24/Jul/23 1:49 PM;elanitec;MicrosoftTeams-image (6).png;https://jira.prod.evogene.host/secure/attachment/54438/MicrosoftTeams-image+%286%29.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P273 - Product- Upkeep MB  (2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,MIC-742,,,,,,,,,MicroBoost,0|i015kv:,01/07/2023
Prepare StrainDB data in DB - final update,MIC-958,54302,,Task,Closed,MIC,MicroBoost,software,larisar,,,Medium,,noama,larisar,larisar,06/08/2023 10:54,08/08/2023 12:27,12/09/2023 13:19,,08/08/2023 00:00,drorf,duduz,elanitec,larisar,noama,,,,,,;07/Aug/23 9:06 AM;noama;7200,,,,,,,,,,,,,,,,,,,,,,,,,28800,21600,7200,25%,28800,21600,7200,MIC-748,,,,,,,,,,,MIC-754,MIC-751,,,,,,,,,,,,,,,,,,,MIC-749,,,,,,,,,,,MIC-749,MIC-748,,,,,,,,,,,,,,,,,,,06/Aug/23 1:25 PM;larisar;MIC-958__CPB_CENTRAL_STRAINDB_GROUPS__final_20230806.xlsx;https://jira.prod.evogene.host/secure/attachment/55301/MIC-958__CPB_CENTRAL_STRAINDB_GROUPS__final_20230806.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Development,,P265 - Product- MB (Microboost 2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,MIC-720,,,,,,,,,MicroBoost,0|i015zr:,01/03/2023
Genome page main UI - Droplist Genomes in Group,MIC-754,41210,,Task,Closed,MIC,MicroBoost,software,larisar,,,Medium,,noama,larisar,larisar,05/02/2023 12:45,13/08/2023 09:43,12/09/2023 13:19,,25/06/2023 00:00,duduz,elanitec,larisar,noama,,,,,,,"place layout, search, table download btn;07/Jun/23 11:55 AM;noama;7200","+For genomes that are LavieBio Isolates (only LavieBio environment):+
1. List of all productions in BACUN group, indicate representative ""yes/no"".
2. Option to sort, filter and download excel (full and filtered).
3. Downloaded file name should include production name, e.g. ""Pseudomonas_fluorescens_g_proteobacteria_GCF_001307275_18v1_GENOMESinGROUP"".;08/Jun/23 11:16 AM;noama;28800",;11/Jun/23 12:00 PM;noama;28800,"biomica

getting production data by GCF values

display group members

in case of more than 1 production for GCF getting latest version

no production for GCF display oranism_gcf value as full name;13/Jun/23 11:56 AM;noama;28800","* xlsx download
 * display data on biomica

 ;14/Jun/23 11:54 AM;noama;28800","* done with xlsx download for laviebio and biomica.
 * lavibio: handle  productions with CGF/ assembly id;15/Jun/23 11:15 AM;noama;28800","Done, please check;18/Jun/23 11:08 AM;noama;28800",,,,,,,,,,,,,,,,,,,288000,108000,180000,62%,288000,108000,180000,MIC-958,MIC-749,MIC-747,MIC-751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIC-962,,,,,,,,MIC-966,,,,,,,,,,,,29/Mar/23 3:43 AM;larisar;screenshot-1.png;https://jira.prod.evogene.host/secure/attachment/46000/screenshot-1.png,29/Mar/23 3:43 AM;larisar;screenshot-2.png;https://jira.prod.evogene.host/secure/attachment/46001/screenshot-2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tool,Development,,P265 - Product- MB (Microboost 2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,MIC-720,,,,,,,,,MicroBoost,0|i01087:,01/06/2023
Advanced search ETL,CPB-1052,53802,,Task,Closed,CPB,CPB,software,drorf,,,Medium,,noama,duduz,duduz,30/07/2023 06:50,21/08/2023 13:09,12/09/2023 13:19,,31/07/2023 00:00,duduz,,,,,,,,,,POC loading data from files;06/Aug/23 12:07 PM;noama;28800,;07/Aug/23 11:02 AM;noama;21600,"get records from DB, create tsv files and load to ELK poc;09/Aug/23 4:28 AM;noama;28800",;10/Aug/23 4:00 AM;noama;21600,;10/Aug/23 11:42 AM;noama;28800,"json select POC,

limit & offset;13/Aug/23 11:51 AM;noama;28800",,,,,,,,,,,,,,,,,,,,144000,0,158400,110%,144000,0,158400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CPB-1073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P271 - CPB Upkeep Computational (2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,,,,,,,,,,CPB,0|i015on:,01/08/2023
Support reloading of taxonomy data (Kraken) in Metabacum,CPB-1056,53911,,Task,Closed,CPB,CPB,software,drorf,,,Medium,,noama,iliab,iliab,31/07/2023 14:53,23/08/2023 07:37,12/09/2023 13:19,,22/08/2023 00:00,iliab,sassim,,,,,,,,,"metabacum /api/v1/taxonomy/samples updated to POST, and changed from to create a results file instead of return results dataset;17/Aug/23 8:18 AM;noama;57600",,,,,,,,,,,,,,,,,,,,,,,,,57600,0,57600,100%,57600,0,57600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P279 - CPB projects Computational (CPB 2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,MIC-828,,,,,,,,,CPB,0|i015uf:,01/08/2023
StrainDB: Add download option for Final_StrainDB2022_translation_table to Biomica environment,MIC-960,54403,,Task,Closed,MIC,MicroBoost,software,larisar,,,Medium,,noama,larisar,larisar,07/08/2023 09:55,28/08/2023 15:46,12/09/2023 13:19,,31/08/2023 00:00,elanitec,larisar,noama,,,,,,,,;21/Aug/23 11:59 AM;noama;28800,,,,,,,,,,,,,,,,,,,,,,,,,28800,0,28800,100%,28800,0,28800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIC-943,,,,,,,,CPB-1089,CPB-1071,,,,,,,,,,,07/Aug/23 11:38 AM;larisar;Final_StrainDB2022_translation_table_for_Biomica.xlsx;https://jira.prod.evogene.host/secure/attachment/55405/Final_StrainDB2022_translation_table_for_Biomica.xlsx,28/Aug/23 9:25 AM;larisar;screenshot-1.png;https://jira.prod.evogene.host/secure/attachment/57002/screenshot-1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P265 - Product- MB (Microboost 2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,MIC-742,,,,,,,,,MicroBoost,0|i0161b:,01/08/2023
Metabacum support,CPB-1075,55505,,Task,Closed,CPB,CPB,software,drorf,,,Medium,,noama,duduz,duduz,21/08/2023 14:41,30/08/2023 11:26,12/09/2023 13:19,,31/08/2023 00:00,duduz,,,,,,,,,,"refresh abundance data for PRNJA762360_refunder_pathway, refresh PRNJA762360_refunder_evocog samples files;22/Aug/23 6:32 AM;noama;60","refreshed the files like we talked and execute the options that didn't have matching results, please check 

for refunder KO:
1.23-08-2023 JOB ID 1692766771839 : 6442 records
2.23-08-2023 JOB ID 1692766874961 : 6442 records

for assembly EvoCOG
1.23-08-2023 JOB ID 1692768114182 : 5350 records
2.23-08-2023 JOB ID 1692768884489 : 5350 records;23/Aug/23 5:57 AM;noama;10800","abundance refresh data for PRNJA762360_refunder_pathway, PRNJA762360_evocog;23/Aug/23 5:58 AM;noama;28800",,,,,,,,,,,,,,,,,,,,,,,57600,17940,39660,68%,57600,17940,39660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P271 - CPB Upkeep Computational (2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,,,,,,Ready for work,,,,MicroBoost,0|i016fb:,01/08/2023
Create layout for Genome Page ,MIC-751,41207,,Task,Closed,MIC,MicroBoost,software,larisar,,,Medium,,noama,larisar,larisar,05/02/2023 11:21,30/08/2023 12:30,12/09/2023 13:19,,28/03/2023 00:00,elanitec,larisar,noama,,,,,,,,start genome page;22/Mar/23 1:01 PM;noama;14400,;23/Mar/23 12:21 PM;noama;28800,"genome page laviebio data complete, need to get biomica groups information. ;26/Mar/23 12:04 PM;noama;28800","* adding STRAINDB module to metabacum API. (there is an issue with adding data to metaDATA.sql file)
* ui updating biomica options.;27/Mar/23 11:52 AM;noama;5400","* biomica ui options
* metabacum straindb module tests;28/Mar/23 11:52 AM;noama;28800",page layout & functionality created  ;29/Mar/23 11:55 AM;noama;28800,,,,,,,,,,,,,,,,,,,,144000,9000,135000,93%,144000,9000,135000,MIC-958,MIC-747,MIC-749,,,,,,,,,MIC-999,MIC-855,MIC-784,MIC-782,MIC-771,MIC-769,MIC-765,MIC-764,MIC-763,MIC-762,MIC-761,MIC-760,MIC-759,MIC-757,MIC-755,MIC-754,MIC-753,,,,,,,,,,,,,,,MIC-962,,,,,,,,MIC-965,,,,,,,,,,,,28/Mar/23 7:10 AM;larisar;screenshot-1.png;https://jira.prod.evogene.host/secure/attachment/45900/screenshot-1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tool,Development,,P265 - Product- MB (Microboost 2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,MIC-720,,,,,,,,,MicroBoost,0|i0107j:,01/03/2023
GCF and Representative presented incorrectly for non-strainDB productions,MIC-962,54603,,Bug,Closed,MIC,MicroBoost,software,larisar,,,Medium,,noama,larisar,larisar,09/08/2023 11:39,30/08/2023 14:25,12/09/2023 13:19,,24/08/2023 00:00,elanitec,larisar,noama,,,,,,,,;22/Aug/23 12:26 PM;noama;28800,;23/Aug/23 9:03 AM;noama;7200,,,,,,,,,,,,,,,,,,,,,,,,57600,21600,36000,62%,57600,21600,36000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIC-966,MIC-965,,,,,,,,,,,,,,,,,,,,,MIC-754,MIC-751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P271 - CPB Upkeep Computational (2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,MIC-720,,,,,,,,,MicroBoost,0|i0164v:,01/08/2023
"Fix inconsistency in ""Droplist Genomes in Group""",MIC-966,54901,,Bug,Closed,MIC,MicroBoost,software,larisar,,,Medium,,noama,larisar,larisar,13/08/2023 09:18,31/08/2023 07:36,12/09/2023 13:19,,24/08/2023 00:00,elanitec,larisar,noama,,,,,,,,"fix not a member message in laviebio for bacum

fix columns order for dounloaded excel in laviebio;24/Aug/23 9:50 AM;noama;28800",,,,,,,,,,,,,,,,,,,,,,,,,28800,0,28800,100%,28800,0,28800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIC-962,,,,,,,,,,,MIC-754,,,,,,,,,,,,,,,,,,,,13/Aug/23 9:38 AM;larisar;image-2023-08-13-12-38-18-427.png;https://jira.prod.evogene.host/secure/attachment/55902/image-2023-08-13-12-38-18-427.png,13/Aug/23 9:38 AM;larisar;image-2023-08-13-12-38-24-192.png;https://jira.prod.evogene.host/secure/attachment/55901/image-2023-08-13-12-38-24-192.png,30/Aug/23 1:51 PM;larisar;image-2023-08-30-16-51-16-267.png;https://jira.prod.evogene.host/secure/attachment/57204/image-2023-08-30-16-51-16-267.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P271 - CPB Upkeep Computational (2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,MIC-720,,,,,,,,,MicroBoost,0|i0166n:,01/08/2023
Update Metacyc db,CPB-1035,53113,,Task,Closed,CPB,CPB,software,drorf,,,Medium,,noama,iliab,iliab,19/07/2023 16:17,31/08/2023 07:50,12/09/2023 13:19,,15/08/2023 00:00,iliab,noama,,,,,,,,,"* new pathway manually loading to pathway table.
 * 5 pathway was not found in db after loading.
 * need to edit protien2pwy file without missing 5 pwy.;01/Aug/23 12:05 PM;noama;28800",load data please check;03/Aug/23 6:33 AM;noama;14400,,,,,,,,,,,,,,,,,,,,,,,,43200,0,43200,100%,43200,0,43200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19/Jul/23 4:16 PM;iliab;added_to_Protein2PWY_total;https://jira.prod.evogene.host/secure/attachment/54109/added_to_Protein2PWY_total,19/Jul/23 4:14 PM;iliab;added_to_PWY_descriptions;https://jira.prod.evogene.host/secure/attachment/54110/added_to_PWY_descriptions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P279 - CPB projects Computational (CPB 2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,CPB-762,,,,,,,,,CPB,0|i015bj:,01/08/2023
Previous Biomica's datasets uploaded to metabacum: fix transfer of data from DB to UI download,CPB-1080,55707,,Task,Closed,CPB,CPB,software,drorf,,,Medium,,noama,iliab,larisar,23/08/2023 12:46,10/09/2023 09:43,12/09/2023 13:19,,31/08/2023 00:00,elanitec,iliab,larisar,noama,sassim,,,,,,;28/Aug/23 12:00 PM;noama;14400,;29/Aug/23 12:05 PM;noama;28800,;30/Aug/23 11:54 AM;noama;28800,;31/Aug/23 10:45 AM;noama;14400,,,,,,,,,,,,,,,,,,,,,,86400,0,86400,100%,86400,0,86400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CPB-1031,CPB-1022,,,,,,,MIC-961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P271 - CPB Upkeep Computational (2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,MIC-828,,,,,,,,,MicroBoost,0|i016if:,01/08/2023
Vendor availability / minor changes,CHEM-587,38808,,Task,Closed,CHEM,ChemPass,software,michalslu,,,Medium,,robertoo,hamutal.e,hamutal.e,04/01/2023 16:25,19/01/2023 11:56,12/09/2023 13:19,,18/01/2023 00:00,hamutal.e,robertoo,,,,,,,,,;18/Jan/23 10:22 AM;robertoo;21600,;19/Jan/23 8:19 AM;robertoo;7200,,,,,,,,,,,,,,,,,,,,,,,,28800,0,28800,100%,28800,0,28800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tool,Development,,P264 - CSO small molecules (CSO/Product),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,CHEM-595,,,,,,,,,ChemPass,0|i00z4n:,01/01/2023
Enamine REAL update - Jan23,CHEM-585,38806,,Task,Closed,CHEM,ChemPass,software,michalslu,,,Medium,,robertoo,hamutal.e,hamutal.e,04/01/2023 16:04,22/01/2023 12:32,12/09/2023 13:19,,12/01/2023 00:00,duduz,hamutal.e,nira,robertoo,,,,,,,;18/Jan/23 10:21 AM;robertoo;7200,"[~hamutal.e]

The file copy finished, and I also updated the links so that Active search/DeepDock now uses the latest version of EnamineReal S and M. (995M and 30.5G molecules respectively).;22/Jan/23 12:32 PM;robertoo;3600",,,,,,,,,,,,,,,,,,,,,,,,28800,18000,10800,37%,28800,18000,10800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHEM-545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tool Support,Operational Task,,P264 - CSO small molecules (CSO/Product),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,CHEM-595,,,,,,,,,ChemPass,0|i00z47:,01/01/2023
New molecules are added to CHEMUNITY and unavailable are removed.,CHEM-564,38210,,Task,Closed,CHEM,ChemPass,software,michalslu,,,Medium,,robertoo,hamutal.e,robertoo,26/12/2022 15:51,01/02/2023 08:18,12/09/2023 13:19,,28/02/2023 00:00,robertoo,,,,,,,,,,;31/Jan/23 10:06 AM;robertoo;14400,,,,,,,,,,,,,,,,,,,,,,,,,115200,100800,14400,12%,115200,100800,14400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHEM-612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tool Support,Development,,P264 - CSO small molecules (CSO/Product),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,CHEM-595,,,,,,,,,ChemPass,0|i00yvb:,01/01/2023
